first_name,last_name,event_name,event_year,division,weight,wins,losses,placement,is_all_american,notes,high_school
Christopher,Gaither,US Marine Corps National Championships (Fargo),2026,16U Boys Greco-Roman,150,1,2,,false,Greco record excluding byes per user confirmation.,
Mason,Brown,US Marine Corps National Championships (Fargo),2026,16U Boys Greco-Roman,120,3,2,,false,Greco record excluding byes per user confirmation.,South Rowan
Conner,Smolen,US Marine Corps National Championships (Fargo),2026,16U Boys Greco-Roman,175,0,2,,false,Greco record excluding byes per user confirmation.,
Braylen,Yates,US Marine Corps National Championships (Fargo),2026,16U Boys Greco-Roman,175,0,2,,false,Greco record excluding byes per user confirmation.,East Rowan
Jake,Amiott,US Marine Corps National Championships (Fargo),2026,16U Boys Greco-Roman,144,3,2,,false,Greco record excluding byes per user confirmation.,Topsail
Jonathan,Helbert,US Marine Corps National Championships (Fargo),2026,16U Boys Greco-Roman,106,0,2,,false,Greco record excluding byes per user confirmation.,West Carteret
Cam,Johnson,US Marine Corps National Championships (Fargo),2026,16U Boys Greco-Roman,106,4,3,8,true,8th place Greco All-American; record excluding byes per user confirmation.,Cape Fear
